,zone_name,zone_id,zone_coords,zone_nightlife_count,zone_restaurant_count,zone_cultural_count,zone_lodging_count,zone_poi_count
70,Serpa,189109,"37.945870, -7.596240",10,43,83,22,70
71,Sines,189110,"37.956840, -8.868880",23,78,79,35,111
72,Albufeira,189112,"37.089390, -8.250680",91,133,102,109,145
73,Lagos,189117,"37.102840, -8.674290",65,122,121,92,156
74,Loulé,189118,"37.137620, -8.019800",39,67,100,37,93
75,Monchique,189119,"37.317950, -8.555870",11,40,74,21,49
76,Portimão,189120,"37.138580, -8.537940",75,41,140,43,97
77,Silves,189122,"37.188620, -8.438530",26,80,78,56,120
78,Anadia,189139,"40.441090, -8.433520",19,28,109,12,115
79,Aveiro,189140,"40.641180, -8.653620",62,166,165,55,185
80,Castelo Branco,189142,"39.822190, -7.490870",53,60,108,26,75
81,Coimbra,189143,"40.203310, -8.410260",71,123,180,32,156
82,Covilhã,189145,"40.286570, -7.503530",49,69,115,35,143
83,Figueira da Foz,189146,"40.147050, -8.861640",63,107,114,43,184
84,Viseu,189149,"40.661010, -7.909710",72,175,144,30,156
85,Barreiro,189151,"38.663530, -9.072220",67,65,148,38,140
86,Batalha,189152,"39.660080, -8.824870",19,97,100,29,169
87,Cascais,189154,"38.697890, -9.421510",74,176,171,98,188
88,Lisboa,189158,"38.722260, -9.139340",120,164,271,77,80
89,Mafra,189159,"38.937280, -9.327070",14,41,103,33,186
90,Óbidos,189160,"39.359660, -9.157530",22,94,121,56,184
91,Palmela,189161,"38.570790, -8.901350",26,77,99,26,129
92,Setúbal,189163,"38.525930, -8.888170",65,131,156,48,198
93,Sintra,189164,"38.802870, -9.381460",66,140,141,43,194
94,Barcelos,189170,"41.537130, -8.615760",48,149,136,42,192
95,Braga,189171,"41.550320, -8.420050",79,123,186,83,190
96,Bragança,189172,"41.805820, -6.757480",60,65,122,26,88
97,Espinho,189173,"41.007310, -8.641160",58,162,126,40,195
98,Guimarães,189174,"41.442530, -8.291790",64,135,156,51,150
99,Lamego,189175,"41.096030, -7.811880",18,91,119,40,160
100,Monção,189177,"42.078820, -8.477200",53,86,117,24,136
101,Porto,189180,"41.149610, -8.610990",103,163,250,75,188
102,Póvoa de Varzim,189181,"41.383860, -8.763840",67,132,152,36,193
103,Valença,189184,"42.028720, -8.648440",69,82,134,51,192
104,Viana do Castelo,189185,"41.693380, -8.832540",57,156,149,50,111
105,Vila do Conde,189186,"41.354960, -8.746610",66,162,151,45,180
106,Bombarral,1910059,"39.268190, -9.157260",17,78,94,31,172
107,Paredes de Coura,1910060,"41.911620, -8.560400",4,63,126,21,97
108,Resende,1913597,"41.107590, -7.966570",15,75,121,66,196
109,Ourique,1916976,"37.658760, -8.227570",0,20,67,5,25
110,Tábua,1923768,"40.362670, -8.000250",11,23,84,18,125
111,Tarouca,1924896,"41.019400, -7.768730",12,78,104,28,170
112,Mourão,1926706,"38.399530, -7.368040",8,6,77,1,10
113,Alvaiázere,1933791,"39.822380, -8.462660",0,8,70,14,127
114,Arganil,1938285,"40.219960, -8.053920",11,66,115,42,173
115,Felgueiras,1938623,"41.368570, -8.195010",24,121,123,22,136
